Question,Option 1,Option 2,Option 3,Option 4,Answer,Solution,sub_id,Q_id
 What percent of 120 are 90?,25%,50%,75%,33%,3,(?% /100) * 120 = 90 ::: ? = 75%,APTPERENL,PERENL001
". If y exceeds x by 20%, then x is less than y by?",16%,16.33%,16.67%,16.60%,3,X=100 ::: y=120 :::120------20  :::100-------?::: => 16 2/3%,APTPERENL,PERENL002
After decreasing 24% in the price of an article costs Rs.912. Find the actual cost of an article?,1400,1300,1200,1100,3,CP* (76/100) = 912 ::: CP= 12 * 100 :::=> CP = 1200,APTPERENL,PERENL003
 How much 60% of 50 is greater than 40% of 30?,18%,13,15,20,1,(60/100) * 50 “ (40/100) * 30  ::: 30 - 12 = 18,APTPERENL,PERENL004
How much is 80% of 40 is greater than 4/5 of 25?,4%,6,9,12,4,(80/100) * 40 “ (4/5) * 25 ::: 32 - 20 = 12,APTPERENL,PERENL005
. 40% of a number is more than 20% of 650 by 190. Find the number?,600%,700,800,900,3,(40/100) * X “ (20/100) * 650 = 190    ::: 2/5 X = 320 X = 800,APTPERENL,PERENL006
25% of 30% of 45% is equal to?,0.03375,0.3375,3.375,33.75,1,(25/100) * (30/100) * (45/100)  :::  1/4 * 3/10 * 9/20  ::: 27/800 = 0.03375,APTPERENL,PERENL007
"60% of a number is added to 120, the result is the same number. Find the number?", 300 ,200,400,500,1,  (60/100) * X + 120 = X ::: 2X = 600 ::: X = 300,APTPERENL,PERENL008
"85% of a number is added to 24, the result is the same number. Find the number?",150%,140,130,160,4,(85/100) * X + 24 = X  :::  3X = 480  ::: X = 160,APTPERENL,PERENL009
"40 is subtracted from 60% of a number, the result is 50. Find the number?",150%,140,130,110,1,(60/100) * X “ 40 = 50 ::: 6X = 900  ::: X = 150,APTPERENL,PERENL010
96% of the population of a village is 23040. The total population of the village is?,32256,24000,24936,25640,2,X * (96/100) = 23040  ::: X = 240 * 100  :::  X = 24000,APTPERENL,PERENL011
 If the price has fallen by 10% what percent of its consumption be: increased so that the expenditure may be the same as before?,11%,10%,11.11%,9.09%,3,100 “ 10 = 90 ::: 90------10 :::   100------?::: => 11 1/9%,APTPERENL,PERENL012
"If y exceeds x by 25%, then x is less than y by?",16%,16.33%,20%,16.60%,3,X=100 y=125   ::: 125--------25  :::  100--------?::: => 20%,APTPERENL,PERENL013
The salary of Mr. X is 30% more than that of Mr. Y . Find what percent of Mr. Y's salary is less than Mr. X's?,30%,25.08%,23.08%, 22 1/13 %,3,y=100 x=130   ::: 130---------30  ::: 100---------? ::: => 23 1/3%,APTPERENL,PERENL014
 In an examination 38% of students fail in English and 61% pass in Hindi and 23% fail in both. Find the actual failure percentage?,46%,61%,54%,70%,3,54+23+16=54%,APTPERENL,PERENL015
Two numbers are respectively 20% and 25% more than a third number. The percentage that is first of the second is?,80%,85%,96%,125%,3,120   125  100  125----------120  ::: 100-----------? => 96%,APTPERENL,PERENL016
A sells his goods 50% cheaper than B but 50% dearer than C. The cheapest is?,A,B,C,All A like,3,Let B = 100    A = 50   ::: C * (150/100) = 50 :::  3C = 100:::  C = 33.3 then 'C' Cheapest ,APTPERENL,PERENL017
A candidate got 35% of the votes polled and he lost to his rival by 2250 votes. How many votes were cast?,7500%,5000,6000,3500,1, 30%----------2250  :::100%---------? :::=> 7500,APTPERENL,PERENL018
Subtracting 10% from X is the same as multiplying X by what number?,80%,90,10,50,2,X - (10/100) ::: X = X * ? ::: ? = 90%,APTPERENL,PERENL019
 A mixture of 70 liters of wine and water contains 10% water. How much water must be added to make water 12 ½% of the total mixture?,12liters,10liters,4 liters,2 liters,4,87 1/2%  :::     12 1/2%   ::: 87 1/2% ------- 63 :::  12 1/2% -------?::: => 9-7=2,APTPERENL,PERENL020
"The amount of water (in ml) that should be added to reduce 9 ml. Lotion, containing 50% alcohol, to a lotion containing 30% alcohol, is?",3%,4,5,6,2,30% ----- 4.5  =4,APTPERENL,PERENL021
" Nitin's salary is reduced by 10% and then reduced salary is increased by 10%. Find ,how many percentage his present salary is less as compared to his previous salary?",Nothing,10,1,5,3,10*10       -------- = 1%     :::  100,APTPERENL,PERENL022
Two numbers are 30% and 37% are less than a third number .How much percent is the second number less than the first?,15%,12,10,5,3,70 -------- 7  :::  100 ------ ? => 10%,APTPERENL,PERENL023
Find the 37.5% of 976 =,324%,388,366,372,3,37.5 % of 976    = 37.5/100 * 976 = 375/1000 * 976 = 3/8 * 976   = 3 * 122 = 366,APTPERENL,PERENL024
What percent of 125 is 16?,10%,12.35%,11.15%,11.23%,2,x% of 125 = 16::: => x/100 * 125 = 16 :::  x% of 125 = 16 ::: => x/100 * 125 = 16,APTPERENL,PERENL025
 64 is what percent of 80?,80%,70,60,64,1,80 * x/100 = 64 ::: => x = (64 * 100)/80 ::: => x = 80.  80% of 80 is 64.,APTPERENL,PERENL026
80 is what percent of 64?,85%,120,75,125,4,64 * x/100 = 80 ::: => x = (80 * 100)/64 ::: => x = 125  80 is 125% of 64.,APTPERENL,PERENL027
"If A got 80 marks and B got 60 marks, then what percent of A's mark is B's mark?",60%,80,65,75,4,=> x = (60 * 100)/80 = 75,APTPERENL,PERENL028
"If 30% of a number exceeds 20% of it by 18, then find the number?",120%,200,180,150,3,30% of x = 30/100 * x = 3x/10   ::: 20% of x = 20/100 * x = x/5 = 2x/10. x = 180.,APTPERENL,PERENL029
"If two positive numbers are in the ratio 1/8 : 1/5, then by what percent is the second number more than the first?",40%,33.33%,60%,66.67%,3,Required percentage = 3x/5x * 100 = 60%.,APTPERENL,PERENL030
